question_id,L_qtok,L_lines,L_kw,L_ids,S_nest,S_cf,T_class,T_type,O_var,O_sim,H_N,H_D,H_W,H_amb,H_B,H_M,H_P,H_Dmax,H_Dmean,d_ptr,d_ref,d_arrow,d_scope,d_incr,d_assign,oop_nclass,oop_dinherit,oop_rcount,mem_stack,mem_heap,mem_static,mem_global,spc_compile,spc_runtime,spc_another
74,10,10,0.4,1,2,1.5,0,1,17.2,0.45382395382395385,6.0,3.0,6.967,0.0499,4.0,1.0,0.6,5.0,3.375,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0,0,0,1,0,0,0,1,1,0
75,10,12,0.375,3,1,0.0,0,1,29.04,0.5,5.667,2.333,6.133,0.1372,3.0,2.0,1.6,4.0,2.889,0.0,0.0,0.0,0.0,0.0,0.125,0,0,0,1,0,0,0,1,1,0
76,10,14,0.2647058823529412,4,1,0.0,0,3,30.47222222222222,0.13333333333333333,8.0,3.0,8.533,0.0543,4.0,2.0,1.6,5.0,3.667,0.0,0.029411764705882353,0.0,0.0,0.0,0.14705882352941177,0,0,0,1,0,0,0,1,1,1
77,10,11,0.42857142857142855,2,1,0.0,0,1,19.76,0.0,3.333,3.0,3.967,0.0694,4.0,2.0,0.9,5.0,2.857,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,1,1
78,10,13,0.36363636363636365,3,1,0.0,0,1,36.64,0.0,6.333,2.333,6.9,0.0581,2.0,1.0,1.0,4.0,3.2,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0,0,0,1,0,0,0,1,1,1
79,10,14,0.3,7,1,0.0,0,3,20.1875,0.5476190476190476,8.0,2.667,8.767,0.0535,3.0,2.0,1.5,4.0,2.0,0.0,0.1,0.0,0.0,0.0,0.2,0,0,0,1,0,0,0,0,0,1
80,10,12,0.3888888888888889,3,1,0.0,0,3,27.0,0.3333333333333333,5.0,2.0,5.3,0.0469,2.0,1.0,0.8,4.0,2.25,0.0,0.05555555555555555,0.0,0.0,0.0,0.1111111111111111,0,0,0,1,0,0,0,0,0,1
81,10,12,0.38461538461538464,3,1,0.0,0,1,72.0,0.0,7.667,2.0,8.333,0.0224,2.0,1.0,0.5,4.0,1.889,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0,0,0,1,0,0,0,0,0,0
82,10,12,0.4,3,1,0.0,0,3,21.04,0.0,6.333,4.0,7.2,0.6283,4.0,2.0,1.6,5.0,2.889,0.0,0.1,0.0,0.0,0.0,0.15,0,0,0,1,0,0,1,1,1,1
83,10,17,0.3548387096774194,4,2,1.5,0,1,23.04,0.3333333333333333,15.667,2.333,16.5,0.0708,3.0,1.0,0.5,3.0,1.889,0.0,0.0,0.0,0.0,0.0,0.16129032258064516,0,0,0,1,0,0,1,0,0,1
84,10,18,0.3333333333333333,4,2,1.5,0,1,23.44,0.5222222222222223,11.333,3.0,12.3,0.1418,3.0,2.0,1.3,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.15151515151515152,0,0,0,1,0,0,1,0,0,1
85,10,10,0.3333333333333333,3,1,0.0,0,1,0.0,0.7083333333333334,7.0,3.0,7.633,0.0353,3.0,2.0,1.1,4.0,2.444,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0,0,0,1,0,0,0,0,0,0
86,10,14,0.2727272727272727,2,1,0.0,0,1,36.64,0.0,4.667,3.0,5.367,0.2597,4.0,2.0,1.5,4.0,2.455,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0,0,0,1,0,0,0,1,1,1
87,10,11,0.3888888888888889,3,1,0.0,0,1,14.96,0.7272727272727273,5.0,2.667,5.5,0.0445,3.0,2.0,0.7,4.0,2.857,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0,0,0,1,0,0,0,1,1,1
88,10,10,0.4444444444444444,3,1,0.0,0,1,30.96,0.5,5.0,3.0,6.167,0.0183,4.0,1.0,0.6,5.0,3.333,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0,0,0,1,0,0,0,1,1,1
89,10,8,0.22727272727272727,4,1,0.0,0,1,14.96,0.0,6.333,3.0,7.133,0.2472,3.0,1.0,0.6,5.0,3.167,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0,0,0,1,0,0,0,1,1,1
90,10,8,0.29411764705882354,3,1,0.0,0,1,30.96,0.5,4.667,3.333,5.2,0.0236,4.0,2.0,1.1,4.0,2.889,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,1,1
91,10,8,0.3125,3,1,0.0,0,1,27.0,0.3333333333333333,5.0,2.0,5.467,0.0113,2.0,2.0,1.1,5.0,1.889,0.0,0.0,0.0,0.0,0.0,0.0625,0,0,0,1,0,0,0,0,0,1
92,10,8,0.35714285714285715,3,1,0.0,0,1,53.36,0.5,4.667,3.667,5.433,0.029,4.0,2.0,1.4,4.0,3.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0,0,0,1,0,0,0,1,1,0
96,10,9,0.23809523809523808,5,1,0.0,0,1,23.04,0.25,6.333,2.0,7.567,0.0357,2.0,2.0,1.1,4.0,2.2,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0,0,0,1,0,0,0,0,0,1
97,10,7,0.375,2,1,0.0,0,1,18.96,0.0,5.333,2.0,6.0,0.152,2.0,1.0,0.8,5.0,3.333,0.0,0.0,0.0,0.0,0.0,0.125,0,0,0,1,0,0,0,1,1,1
98,10,14,0.3,7,1,0.0,0,3,18.75,0.4166666666666667,8.333,2.667,8.8,0.0599,3.0,2.0,1.1,2.0,1.5,0.0,0.1,0.0,0.0,0.0,0.2,0,0,0,1,0,0,0,0,0,1
99,10,7,0.38461538461538464,2,1,0.0,0,1,23.04,0.5,4.667,2.0,5.4,0.0079,2.0,1.0,1.0,5.0,2.429,0.0,0.0,0.0,0.0,0.07692307692307693,0.15384615384615385,0,0,0,1,0,0,0,0,0,1
100,10,7,0.38461538461538464,2,1,0.0,0,1,23.04,0.3333333333333333,6.0,2.333,6.733,0.0547,3.0,2.0,1.5,4.0,3.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0,0,0,1,0,0,0,0,0,1
101,10,10,0.25,3,1,0.0,0,1,24.16,0.25,11.0,3.0,11.733,0.2872,3.0,1.0,1.0,3.0,2.444,0.0,0.0,0.0,0.0,0.2,0.25,0,0,0,1,0,0,0,0,0,1
102,10,10,0.25,3,1,0.0,0,1,23.04,0.5,7.667,4.0,9.867,0.7143,4.0,1.0,1.0,5.0,2.889,0.0,0.0,0.0,0.0,0.15,0.25,0,0,0,1,0,0,0,0,0,1
103,10,9,0.2631578947368421,3,1,0.0,0,1,19.36,0.4444444444444444,7.333,3.0,8.8,0.5082,3.0,2.0,1.5,5.0,2.8,0.0,0.0,0.0,0.0,0.10526315789473684,0.2631578947368421,0,0,0,1,0,0,0,0,0,1
104,10,13,0.3333333333333333,6,1,0.0,0,1,13.0,0.0,8.0,3.0,9.233,0.0298,3.0,2.0,0.9,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1
105,10,9,0.2777777777777778,4,1,0.0,0,2,14.64,0.0,5.0,2.0,5.567,0.0051,2.0,2.0,1.1,4.0,2.125,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0,0,0,1,0,0,0,1,1,1
106,10,35,0.3333333333333333,9,3,5.0,0,2,36.75,0.5555555555555555,50.667,4.0,60.5,0.4222,4.0,2.0,1.2,2.0,2.0,0.0,0.0,0.0,0.0,0.028985507246376812,0.08695652173913043,0,0,0,1,0,0,1,0,0,0
107,10,11,0.18181818181818182,6,1,0.0,0,1,14.5,0.0,6.0,2.0,6.167,0.0115,3.0,1.0,0.5,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0,0,0,1,0,0,0,0,0,1
108,10,8,0.4,3,1,0.0,0,2,31.36,0.0,5.333,3.667,7.033,0.7804,4.0,2.0,1.3,5.0,2.909,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,1,1
109,10,8,0.46153846153846156,1,1,0.0,0,1,0.25,0.0,4.0,3.333,4.867,0.0769,4.0,2.0,1.4,5.0,3.333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,1,1
110,10,7,0.3333333333333333,3,1,0.0,0,1,17.6875,0.5,4.333,2.0,4.9,0.0265,2.0,1.0,0.8,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0,0,0,1,0,0,0,0,0,1
111,10,7,0.2857142857142857,4,1,0.0,0,1,22.5,0.3119047619047619,6.0,3.0,6.633,0.1209,3.0,2.0,1.1,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0,0,0,1,0,0,0,0,0,1
112,10,10,0.38095238095238093,4,1,0.0,0,1,472.25,0.0,5.667,3.0,6.733,0.5049,3.0,2.0,1.6,2.0,1.714,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0,0,0,1,0,0,0,0,0,1
113,10,9,0.3888888888888889,2,1,0.0,0,1,25.22222222222222,0.3333333333333333,3.667,3.0,4.467,0.0479,4.0,1.0,0.6,4.0,2.3,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0,0,0,1,0,0,0,1,1,1
114,10,7,0.38461538461538464,2,1,0.0,0,1,15.1875,0.0,5.667,3.333,6.6,0.0064,4.0,2.0,1.1,5.0,2.778,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0,0,0,1,0,0,0,0,0,0
115,10,6,0.45454545454545453,2,1,0.0,0,1,20.333333333333332,0.0,5.0,2.0,5.633,0.5146,2.0,2.0,1.4,5.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,1,1
116,10,7,0.45454545454545453,1,1,0.0,0,1,30.96,0.38888888888888884,4.333,2.0,4.9,0.0346,2.0,1.0,1.0,5.0,2.778,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0,0,0,1,0,0,0,1,1,0
